configurationDescription,configurationSchema,data,description,documentationUrl,emptyConfiguration,flags,hasRun,hasUI,ico32,ico64,id,longDescription,name,type,uiOptions,uri
0,,{},{},Forecast.io Augmentation,,{},[],True,False,,,ag-forecastio,,Forecast.io Augmentation,extractor,{},https://syrup.keboola.com/ag-forecastio
1,,{},{},Geocoding Augmentation (deprecated),,{},[excludeFromNewList],True,False,,,ag-geocoding,,Geocoding Augmentation (deprecated),extractor,{},https://syrup.keboola.com/ag-geocoding
2,Some Configuration help,"{u'default': {u'ruleparameters': u'#/definitions/datatype'}, u'items': {u'additionalProperties': False, u'required': [u'ruleparameters'], u'type': u'object', u'properties': {u'ruleparameters': {u'oneOf': [{u'$ref': u'#/definitions/datatype'}, {u'$ref': u'#/definitions/valuerange'}, {u'$ref': u'#/definitions/knownvalues'}, {u'$ref': u'#/definitions/dateformatcheck'}, {u'$ref': u'#/definitions/relativedate'}, {u'$ref': u'#/definitions/nullempty'}, {u'$ref': u'#/definitions/stringlength'}], u'type': u'object', u'title': u'rule'}}, u'title': u'Business Rule'}, u'definitions': {u'lengthrange': {u'additionalProperties': False, u'required': [u'minLen', u'maxLen'], u'type': u'object', u'properties': {u'maxLen': {u'type': u'integer', u'title': u'Maximum Length'}, u'minLen': {u'type': u'integer', u'title': u'Minimum Length'}}, u'title': u'Variable Length'}, u'datatype': {u'additionalProperties': False, u'required': [u'rule', u'column', u'typeofdata'], u'type': u'object', u'properties': {u'column': {u'type': u'string', u'title': u'Column'}, u'typeofdata': {u'enum': [u'alphanumeric', u'integer', u'decimal', u'date'], u'type': u'string', u'title': u'Type of Data'}, u'rule': {u'default': u'dataType', u'readOnly': True, u'enum': [u'dataType'], u'type': u'string', u'title': u'Rule'}}, u'title': u'Data Type'}, u'exactlength': {u'additionalProperties': False, u'required': [u'strLen'], u'type': u'object', u'properties': {u'strLen': {u'type': u'integer', u'title': u'Exact Length'}}, u'title': u'Exact Length'}, u'nullempty': {u'additionalProperties': False, u'required': [u'rule', u'column'], u'type': u'object', u'properties': {u'column': {u'type': u'string', u'title': u'Column'}, u'rule': {u'default': u'nullEmptyCheck', u'readOnly': True, u'enum': [u'nullEmptyCheck'], u'type': u'string', u'title': u'Rule'}}, u'title': u'Null Empty Check'}, u'dateformatcheck': {u'additionalProperties': False, u'required': [u'rule', u'column', u'timeFormat'], u'type': u'object', u'properties': {u'column': {u'type': u'string', u'title': u'Column'}, u'timeFormat': {u'enum': [u'YYYY-MM-DD', u'YYYYMMDD', u'YYYY-MM', u'YYYY/MM/DD', u'MM/DD/YYYY', u'DD/MM/YYYY', u'YYYY', u'hh:mm:ss'], u'type': u'string', u'title': u'Choose time format'}, u'rule': {u'default': u'dateFormatCheck', u'readOnly': True, u'enum': [u'dateFormatCheck'], u'type': u'string', u'title': u'Rule'}}, u'title': u'Date Format'}, u'valuerange': {u'additionalProperties': False, u'required': [u'rule', u'column', u'minValue', u'maxValue'], u'type': u'object', u'properties': {u'column': {u'type': u'string', u'title': u'Column'}, u'maxValue': {u'type': u'integer', u'title': u'Maximum Value'}, u'rule': {u'default': u'valueRange', u'readOnly': True, u'enum': [u'valueRange'], u'type': u'string', u'title': u'Rule'}, u'minValue': {u'type': u'integer', u'title': u'Minimum Value'}}, u'title': u'Value Range'}, u'knownvalues': {u'additionalProperties': False, u'required': [u'rule', u'column', u'values'], u'type': u'object', u'properties': {u'column': {u'type': u'string', u'title': u'Column'}, u'values': {u'uniqueItems': True, u'items': {u'additionalProperties': False, u'required': [u'name'], u'type': u'object', u'properties': {u'name': {u'type': u'string', u'title': u'Value Name'}}, u'title': u'Value'}, u'type': u'array', u'title': u'Known Values'}, u'rule': {u'default': u'knownValues', u'readOnly': True, u'enum': [u'knownValues'], u'type': u'string', u'title': u'Rule'}}, u'title': u'Known Values'}, u'stringlength': {u'additionalProperties': False, u'required': [u'rule', u'column', u'options'], u'type': u'object', u'properties': {u'column': {u'type': u'string', u'title': u'Column'}, u'options': {u'oneOf': [{u'$ref': u'#/definitions/exactlength'}, {u'$ref': u'#/definitions/lengthrange'}], u'type': u'object', u'title': u'options'}, u'rule': {u'default': u'stringLength', u'readOnly': True, u'enum': [u'stringLength'], u'type': u'string', u'title': u'Rule'}}, u'title': u'String Length'}, u'relativedate': {u'additionalProperties': False, u'required': [u'rule', u'column', u'timeFormat', u'datePicked', u'direction'], u'type': u'object', u'properties': {u'column': {u'type': u'string', u'title': u'Column'}, u'timeFormat': {u'enum': [u'YYYY-MM-DD', u'YYYYMMDD', u'YYYY-MM', u'YYYY/MM/DD', u'MM/DD/YYYY', u'DD/MM/YYYY', u'YYYY'], u'type': u'string', u'title': u'Choose time format'}, u'direction': {u'enum': [u'past', u'future'], u'type': u'string', u'title': u'Choose the direction'}, u'datePicked': {u'type': u'string', u'title': u'Please specify the date to compare to. (With the same format above)'}, u'rule': {u'default': u'relativeDate', u'readOnly': True, u'enum': [u'relativeDate'], u'type': u'string', u'title': u'Rule'}}, u'title': u'Relative Date'}}, u'type': u'array', u'title': u'Business Rules'}","{u'definition': {u'tag': u'master', u'type': u'quayio-private', u'uri': u'haln22111/kbcdatahealth', u'repository': {u'username': u'haln22111+kbcrobot', u'#password': u'KBC::ComponentEncrypted==SNawzATNLy/I6NeMBCE6hNH/l9jzJgcvxUrnrvgXPncsvY6L5kCHUdFprJTRRUCbKJqDkHLsru3RZTjpkD8fCg5FhIkrIMsyLmHGepm9O5sOqNdHe8Qt32s8ORvRCFlN6MvnVVAtjfa4+QVIIJKjNwzC6PcgO0VPrTpH9xtcA7g='}}, u'process_timeout': 3600, u'network': u'bridge', u'configuration_format': u'json', u'memory': u'512m', u'vendor': {u'contact': [u'todo', u'todo'], u'licenseUrl': u'https://licencse'}, u'cpu_shares': 1024}",Data Health,https://example.com,{},"[encrypt, excludeFromNewList, 3rdParty, genericDockerUI, genericDockerUI-tableInput, genericDockerUI-tableOutput, appInfo.dataIn, appInfo.dataOut]",False,False,,,bcit.datahealth,Todo,Data Health,application,{},https://syrup.keboola.com/docker/bcit.datahealth
3,,{},"{u'definition': {u'tag': u'latest', u'type': u'dockerhub', u'uri': u'bizztreat/keboola-ex-fedger-docker'}, u'default_bucket_stage': u'in', u'process_timeout': 10800, u'configuration_format': u'json', u'memory': u'512m', u'vendor': {u'contact': [u'BizzTreat, s.r.o', u'Bubenská 1477/1', u'Prague', u'support@bizztreat.com'], u'licenseUrl': u'https://github.com/bizztreat/keboola-ex-fedger/blob/master/LICENCE.md'}, u'default_bucket': True, u'cpu_shares': 1024}",Receive smart data from a collection of contextualized web data collected by a proprietary machine intelligence.,https://github.com/bizztreat/keboola-ex-fedger/blob/master/README.md,{},"[3rdParty, appInfo.dataIn, appInfo.dataOut, genericDockerUI, encrypt, genericDockerUI-tableInput]",False,False,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/blueskydigital.fedger-io-32-1.png,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/blueskydigital.fedger-io-64-1.png,bizztreat.ex-fedger,A Fedger.io extractor for Keboola Connection,Fedger.io,extractor,{},https://syrup.keboola.com/docker/bizztreat.ex-fedger
4,,{},"{u'definition': {u'tag': u'latest', u'type': u'dockerhub', u'uri': u'radektomasek/keboola-ex-firebase-docker'}, u'default_bucket_stage': u'in', u'process_timeout': 3600, u'network': u'bridge', u'forward_token': False, u'configuration_format': u'json', u'memory': u'512m', u'vendor': {u'contact': [u'BizzTreat s.r.o.', u'Bubenská 1477', u'170 00 Prague 7', u'info@bizztreat.com'], u'licenseUrl': u'https://github.com/radektomasek/keboola-ex-firebase/blob/master/LICENCE.md'}, u'default_bucket': True, u'cpu_shares': 1024}",Retrieve data from a very popular Reactive database,https://github.com/radektomasek/keboola-ex-firebase/blob/master/README.md,{},"[encrypt, 3rdParty, excludeFromNewList, appInfo.dataIn, genericDockerUI]",False,False,,,bizztreat.ex-firebase,TBA,Firebase,extractor,{},https://syrup.keboola.com/docker/bizztreat.ex-firebase
5,,{},"{u'definition': {u'tag': u'latest', u'type': u'dockerhub', u'uri': u'bizztreat/docker-keboola-ex-segment'}, u'default_bucket_stage': u'in', u'process_timeout': 3600, u'network': u'bridge', u'forward_token': True, u'configuration_format': u'json', u'memory': u'1024m', u'vendor': {u'contact': [u'BizzTreat s.r.o.', u'Bubenská 1477', u'170 00 Prague 7', u'info@bizztreat.com'], u'licenseUrl': u'https://github.com/bizztreat/keboola-ex-segment/blob/master/LICENSE.md'}, u'default_bucket': False, u'cpu_shares': 1024}",Get your Segment.io events stored in the S3 into the KBC automatically.,https://github.com/bizztreat/keboola-ex-segment/blob/master/MANUAL.md,{},"[encrypt, 3rdParty, appInfo.dataIn, genericDockerUI, genericDockerUI-tableOutput]",False,False,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/gd-user-mgmt-32-1.png,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/gd-user-mgmt-64-1.png,bizztreat.ex-segment,App extract events stored from Segment in S3 using Keboola Connection.,Segment S3,extractor,[tableOutput],https://syrup.keboola.com/docker/bizztreat.ex-segment
6,,{},"{u'definition': {u'tag': u'latest', u'type': u'dockerhub', u'uri': u'blueskydigital/keboola-ex-fedger-docker'}, u'default_bucket_stage': u'in', u'process_timeout': 10800, u'configuration_format': u'json', u'memory': u'512m', u'vendor': {u'contact': [u'Blue Sky Digital, LLC', u'7585 E. Redfield Rd.', u'Suite 209', u'Scottsdale AZ 85260', u'hello@bluesky.pro'], u'licenseUrl': u'https://github.com/blueskydigital/keboola-ex-fedger/blob/master/LICENCE.md'}, u'default_bucket': True, u'cpu_shares': 1024}",Receive smart data from a collection of contextualized web data collected by a proprietary machine intelligence.,https://github.com/blueskydigital/keboola-ex-fedger/blob/master/README.md,{},"[3rdParty, excludeFromNewList, appInfo.dataIn, appInfo.dataOut, genericDockerUI, encrypt, genericDockerUI-tableInput]",False,False,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/blueskydigital.fedger-io-32-1.png,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/blueskydigital.fedger-io-64-1.png,blueskydigital.ex-fedger,A Fedger.io extractor for Keboola Connection,Fedger.io,extractor,{},https://syrup.keboola.com/docker/blueskydigital.ex-fedger
7,,{},"{u'definition': {u'tag': u'latest', u'type': u'dockerhub', u'uri': u'blueskydigital/keboola-ex-ooyala-docker'}, u'process_timeout': 3600, u'configuration_format': u'json', u'memory': u'512m', u'vendor': {u'contact': [u'Blue Sky Digital, LLC', u'7585 E. Redfield Rd.', u'Suite 209', u'Scottsdale AZ 85260', u'hello@bluesky.pro'], u'licenseUrl': u'https://github.com/blueskydigital/keboola-ex-ooyala/blob/master/LICENCE.md'}, u'default_bucket': True, u'cpu_shares': 1024}",Retrieve personalised analytics data through deep insights that drive increased viewer engagement and revenue from video,https://github.com/blueskydigital/keboola-ex-ooyala/blob/master/README.md,{},"[3rdParty, appInfo.dataIn, genericDockerUI, encrypt]",False,False,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/blueskydigital.ex-ooyala-32-1.png,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/blueskydigital.ex-ooyala-64-1.png,blueskydigital.ex-ooyala,,Ooyala Analytics,extractor,{},https://syrup.keboola.com/docker/blueskydigital.ex-ooyala
8,,"{u'required': [u'username', u'#password', u'database', u'schema', u'hostname', u'port'], u'type': u'object', u'properties': {u'username': {u'default': u'', u'minLength': 1, u'type': u'string', u'title': u'Username'}, u'#password': {u'default': u'', u'minLength': 1, u'format': u'password', u'type': u'string', u'title': u'Password'}, u'database': {u'default': u'', u'minLength': 1, u'type': u'string', u'title': u'DB name'}, u'hostname': {u'default': u'', u'minLength': 1, u'type': u'string', u'title': u'Hostname'}, u'port': {u'default': 50000, u'minimum': 1, u'type': u'integer', u'maximum': 999999, u'title': u'Port'}, u'schema': {u'default': u'', u'minLength': 1, u'type': u'string', u'title': u'Schema'}}, u'title': u'Parameters'}","{u'definition': {u'tag': u'latest', u'type': u'dockerhub', u'uri': u'blueskydigital/keboola-wr-dashdb-docker'}, u'process_timeout': 3600, u'forward_token': False, u'configuration_format': u'json', u'memory': u'512m', u'vendor': {u'contact': [u'S&G Consulting s.r.o.', u'Janáčkovo nábřeží 1153/13', u'150 00 Praha 5 - Smíchov', u'IČ. 24144592', u'tomas.munzi@sg-consulting.cz'], u'licenseUrl': u'https://github.com/blueskydigital/keboola-wr-dashdb/blob/master/LICENCE.md'}, u'default_bucket': False, u'cpu_shares': 1024}","Fully managed cloud data warehouse, purpose-built for analytics",https://github.com/blueskydigital/keboola-wr-dashdb/blob/master/README.md,{},"[encrypt, genericDockerUI, genericDockerUI-tableInput, appInfo.dataOut, 3rdParty]",False,False,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/blueskydigital.wr-dashdb-32-1.png,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/blueskydigital.wr-dashdb-64-1.png,blueskydigital.wr-dashdb,,IBM dashDB,writer,{},https://syrup.keboola.com/docker/blueskydigital.wr-dashdb
9,,"{u'required': [u'username', u'#password', u'remote_host', u'remote_path', u'protocol', u'port', u'append_datetime', u'datetime_format', u'placeholder', u'retries'], u'type': u'object', u'properties': {u'username': {u'default': u'', u'minLength': 1, u'type': u'string', u'title': u'Username'}, u'datetime_format': {u'default': u'YYYYMMDD_HHmmss', u'minLength': 1, u'type': u'string', u'title': u'Datetime format'}, u'protocol': {u'enum': [u'ftp', u'ftps'], u'type': u'string', u'title': u'Protocol'}, u'#password': {u'default': u'', u'minLength': 1, u'format': u'password', u'type': u'string', u'title': u'Password'}, u'retries': {u'default': 5, u'minimum': 1, u'type': u'integer', u'maximum': 10, u'title': u'Connection retries'}, u'placeholder': {u'default': u'', u'minLength': 0, u'type': u'string', u'title': u'Placeholder'}, u'remote_path': {u'default': u'/', u'minLength': 1, u'type': u'string', u'title': u'Remote path'}, u'remote_host': {u'default': u'', u'minLength': 1, u'type': u'string', u'title': u'Remote host'}, u'port': {u'default': 21, u'minimum': 1, u'type': u'integer', u'maximum': 1500, u'title': u'Port'}, u'append_datetime': {u'default': False, u'enum': [False, True], u'type': u'boolean', u'title': u'Append datetime'}}, u'title': u'Parameters'}","{u'definition': {u'tag': u'latest', u'type': u'dockerhub', u'uri': u'blueskydigital/keboola-wr-ftp-ftps-docker'}, u'vendor': {u'contact': [u'Blue Sky Digital, LLC', u'7585 E. Redfield Rd.', u'Suite 209', u'Scottsdale AZ 85260', u'hello@bluesky.pro'], u'licenseUrl': u'https://github.com/blueskydigital/keboola-wr-ftp-ftps/blob/master/LICENCE.md'}, u'configuration_format': u'json', u'memory': u'512m', u'process_timeout': 3600, u'cpu_shares': 1024}",A FTP/FTPS writer for KBC Storage objects.,https://github.com/blueskydigital/keboola-wr-ftp-ftps/blob/master/README.md,{},"[3rdParty, appInfo.dataOut, genericDockerUI, genericDockerUI-tableInput, encrypt]",False,False,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/blueskydigital.wr-ftp-32-2.png,https://d3iz2gfan5zufq.cloudfront.net/images/cloud-services/blueskydigital.wr-ftp-64-2.png,blueskydigital.wr-ftp,A FTP/FTPS Keboola Connect Writer component that handles data writing from KBC storage to a remote location via FTP/FTPS protocol.,FTP/FTPS,writer,{},https://syrup.keboola.com/docker/blueskydigital.wr-ftp
