,attributes,backend,created,dataSizeBytes,description,id,isMaintenance,isReadOnly,lastChangeDate,name,rowsCount,stage,tables,uri
0,[],mysql,2015-06-18T00:32:52+0200,3897245696,Main project storage,in.c-main,False,False,2016-10-31T18:27:33+0100,c-main,7617370,in,https://connection.keboola.com/v2/storage/buckets/in.c-main/tables,https://connection.keboola.com/v2/storage/buckets/in.c-main
1,[],mysql,2015-06-18T00:32:52+0200,6272876544,Main project storage,out.c-main,False,False,2016-12-03T13:04:59+0100,c-main,19432643,out,https://connection.keboola.com/v2/storage/buckets/out.c-main/tables,https://connection.keboola.com/v2/storage/buckets/out.c-main
2,[],mysql,2015-06-19T14:13:46+0200,21577728,currency rates xtraction,in.c-ex-currency,False,False,2016-12-05T16:31:12+0100,c-ex-currency,142495,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-currency/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-currency
3,[],mysql,2015-08-10T20:24:28+0200,32768,GoogleDrive Extractor,sys.c-ex-google-drive,False,False,2016-12-03T13:00:13+0100,c-ex-google-drive,2,sys,https://connection.keboola.com/v2/storage/buckets/sys.c-ex-google-drive/tables,https://connection.keboola.com/v2/storage/buckets/sys.c-ex-google-drive
4,[],mysql,2015-08-18T00:31:00+0200,0,table-importer extractor configuration,sys.c-table-importer,False,False,2015-08-27T23:49:37+0200,c-table-importer,0,sys,https://connection.keboola.com/v2/storage/buckets/sys.c-table-importer/tables,https://connection.keboola.com/v2/storage/buckets/sys.c-table-importer
5,[],mysql,2015-08-27T01:41:47+0200,229376,restbox configuration,sys.c-restbox,False,False,2016-12-05T11:00:16+0100,c-restbox,35,sys,https://connection.keboola.com/v2/storage/buckets/sys.c-restbox/tables,https://connection.keboola.com/v2/storage/buckets/sys.c-restbox
6,[],mysql,2015-09-10T18:24:56+0200,0,GoogleAnalytics Extractor,sys.c-ex-google-analytics,False,False,2016-08-30T23:38:35+0200,c-ex-google-analytics,0,sys,https://connection.keboola.com/v2/storage/buckets/sys.c-ex-google-analytics/tables,https://connection.keboola.com/v2/storage/buckets/sys.c-ex-google-analytics
7,[],mysql,2015-09-17T17:41:50+0200,1884160,storage,in.c-storage,False,False,2016-06-10T00:15:23+0200,c-storage,8664,in,https://connection.keboola.com/v2/storage/buckets/in.c-storage/tables,https://connection.keboola.com/v2/storage/buckets/in.c-storage
8,"[{u'protected': False, u'name': u'oauth.access_token', u'value': u'00D60000000JppW!AQgAQPnacdaU1ljeh4yNZnLY43MH3NpJUCv2VyymmbPfiEAiGjOcPl8mfWCVQnAHjNm.iKxE96FtzFfyJl06eIhr1FKVS9lQ'}]",mysql,2015-09-21T18:44:27+0200,32768,ex-salesforce extractor configuration,sys.c-ex-salesforce,False,False,2016-09-23T17:33:06+0200,c-ex-salesforce,3,sys,https://connection.keboola.com/v2/storage/buckets/sys.c-ex-salesforce/tables,https://connection.keboola.com/v2/storage/buckets/sys.c-ex-salesforce
9,[],mysql,2015-10-09T17:54:14+0200,0,DB extractor,sys.c-ex-db,False,False,2015-10-09T17:54:49+0200,c-ex-db,0,sys,https://connection.keboola.com/v2/storage/buckets/sys.c-ex-db/tables,https://connection.keboola.com/v2/storage/buckets/sys.c-ex-db
10,[],mysql,2015-10-28T23:00:08+0100,115097600,Created by Docker Bundle,in.c-ex-api-generic-QA-incremental,False,False,2015-11-17T22:30:48+0100,c-ex-api-generic-QA-incremental,391615,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-QA-incremental/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-QA-incremental
11,[],mysql,2015-11-26T07:31:07+0100,14745600,Created by Docker Bundle,in.c-ex-api-generic-PROD-Boats,False,False,2016-12-05T08:42:19+0100,c-ex-api-generic-PROD-Boats,47296,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-PROD-Boats/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-PROD-Boats
12,[],mysql,2015-11-30T00:52:36+0100,950272,Created by Docker Bundle,in.c-ex-api-generic-PROD-Leads,False,False,2016-12-05T08:40:46+0100,c-ex-api-generic-PROD-Leads,2459,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-PROD-Leads/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-PROD-Leads
13,[],mysql,2015-11-30T02:27:48+0100,9502720,Created by Docker Bundle,in.c-ex-api-generic-PROD-Parties,False,False,2016-12-01T10:00:36+0100,c-ex-api-generic-PROD-Parties,30087,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-PROD-Parties/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-PROD-Parties
14,[],redshift,2016-04-05T01:27:15+0200,4253024256,,in.c-main-rs,False,False,2016-12-05T08:45:23+0100,c-main-rs,53917365,in,https://connection.keboola.com/v2/storage/buckets/in.c-main-rs/tables,https://connection.keboola.com/v2/storage/buckets/in.c-main-rs
15,[],redshift,2016-04-06T22:04:42+0200,23068672,Created by Docker Bundle,in.c-ex-api-generic-QA-phone-leads,False,False,2016-05-04T02:03:00+0200,c-ex-api-generic-QA-phone-leads,77,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-QA-phone-leads/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-QA-phone-leads
16,[],redshift,2016-04-07T21:19:47+0200,34607202304,,out.c-reports-rs,False,False,2016-12-05T09:30:47+0100,c-reports-rs,493703056,out,https://connection.keboola.com/v2/storage/buckets/out.c-reports-rs/tables,https://connection.keboola.com/v2/storage/buckets/out.c-reports-rs
17,[],redshift,2016-04-21T00:39:08+0200,18122539008,Bucket created by Transformation API,in.c-bwbc-reports-rs,False,False,2016-12-05T08:54:51+0100,c-bwbc-reports-rs,420787133,in,https://connection.keboola.com/v2/storage/buckets/in.c-bwbc-reports-rs/tables,https://connection.keboola.com/v2/storage/buckets/in.c-bwbc-reports-rs
18,[],redshift,2016-05-17T02:29:22+0200,226492416,,in.c-storage-rs,False,False,2016-12-05T11:00:12+0100,c-storage-rs,994283,in,https://connection.keboola.com/v2/storage/buckets/in.c-storage-rs/tables,https://connection.keboola.com/v2/storage/buckets/in.c-storage-rs
19,[],redshift,2016-05-18T23:10:36+0200,44040192,,in.c-ex-google-drive-rs,False,False,2016-12-03T13:00:29+0100,c-ex-google-drive-rs,272,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-google-drive-rs/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-google-drive-rs
20,[],redshift,2016-05-31T01:59:31+0200,480247808,,in.c-ex-adobe-rs,False,False,2016-12-03T13:01:11+0100,c-ex-adobe-rs,3133406,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-adobe-rs/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-adobe-rs
21,[],redshift,2016-06-09T20:16:18+0200,367001600,,in.c-KPI-rs,False,False,2016-11-10T00:16:42+0100,c-KPI-rs,530531,in,https://connection.keboola.com/v2/storage/buckets/in.c-KPI-rs/tables,https://connection.keboola.com/v2/storage/buckets/in.c-KPI-rs
22,[],redshift,2016-08-17T18:10:37+0200,25165824,Created by Docker Bundle,in.c-ex-api-generic-QA-Leads,False,False,2016-08-30T23:51:57+0200,c-ex-api-generic-QA-Leads,104035,in,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-QA-Leads/tables,https://connection.keboola.com/v2/storage/buckets/in.c-ex-api-generic-QA-Leads
