,createdTime,creatorToken,endTime,id,metrics,operationName,operationParams,results,runId,startTime,status,tableId,url
0,2016-12-07T17:21:39+0100,"{u'id': u'54361', u'description': u'christopher.brossman@dominionmarinemedia.com'}",2016-12-07T17:21:39+0100,19742173,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 6559, u'inBytes': 0, u'outBytesUncompressed': 6559, u'outCompressed': False}",tableExport,"{u'queue': u'main_fast', u'export': {u'changedUntil': None, u'format': u'rfc', u'gzipOutput': False, u'tableName': None, u'limit': None, u'columns': [], u'whereFilters': [], u'changedSince': None}}","{u'cacheHit': True, u'file': {u'id': 219699995}}",,2016-12-07T17:21:39+0100,success,in.c-api_test.example_upload,https://connection.keboola.com/v2/storage/jobs/19742173
1,2016-12-07T16:31:11+0100,"{u'id': u'35079', u'description': u'currency'}",2016-12-07T16:31:13+0100,19741365,"{u'inCompressed': True, u'inBytesUncompressed': 8444282, u'outBytes': 0, u'inBytes': 1233740, u'outBytesUncompressed': 0, u'outCompressed': False}",tableImport,"{u'queue': u'main_fast', u'source': {u'type': u'file', u'fileId': u'220072836'}, u'params': {u'transaction': None, u'partial': False, u'escapedBy': u'', u'source': [], u'delimiter': u',', u'incremental': False, u'withoutHeaders': False, u'enclosure': u'""', u'columns': []}}","{u'totalDataSizeBytes': 49152, u'importedColumns': [u'id', u'date', u'fromCurrency', u'toCurrency', u'rate', u'source'], u'transaction': None, u'totalRowsCount': 4, u'warnings': []}",220072678.220072687,2016-12-07T16:31:11+0100,success,in.c-ex-currency.rates,https://connection.keboola.com/v2/storage/jobs/19741365
2,2016-12-07T09:56:19+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:56:23+0100,19733830,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 15164319, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': True}",tableExport,"{u'queue': u'main', u'export': {u'changedUntil': None, u'format': u'rfc', u'gzipOutput': True, u'tableName': None, u'limit': None, u'columns': [u'scf_id', u'scf_campaign_id', u'scf_event_date', u'scf_geograph_id', u'scf_pos_id', u'scf_est_impressions', u'scf_est_clicks'], u'whereFilters': [], u'changedSince': None}}","{u'cacheHit': False, u'file': {u'id': 220012655}}",220006106.220011559.220011561,2016-12-07T09:56:19+0100,success,out.c-AdOps-rs.state_country_fact,https://connection.keboola.com/v2/storage/jobs/19733830
3,2016-12-07T09:54:32+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:54:33+0100,19733813,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 4964, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': True}",tableExport,"{u'queue': u'main_fast', u'export': {u'changedUntil': None, u'format': u'rfc', u'gzipOutput': True, u'tableName': None, u'limit': None, u'columns': [u'geography_id', u'country_name', u'country_code', u'continent', u'state_code', u'marine_area'], u'whereFilters': [], u'changedSince': None}}","{u'cacheHit': False, u'file': {u'id': 220012543}}",220006106.220011559.220011561,2016-12-07T09:54:32+0100,success,out.c-AdOps-rs.state_country_dim,https://connection.keboola.com/v2/storage/jobs/19733813
4,2016-12-07T09:51:56+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:51:57+0100,19733764,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 3213, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': True}",tableExport,"{u'queue': u'main_fast', u'export': {u'changedUntil': None, u'format': u'rfc', u'gzipOutput': True, u'tableName': None, u'limit': None, u'columns': [u'id', u'pos', u'site_section', u'portal', u'most_used'], u'whereFilters': [], u'changedSince': None}}","{u'cacheHit': False, u'file': {u'id': 220012342}}",220006106.220011559.220011561,2016-12-07T09:51:56+0100,success,out.c-AdOps-rs.position_dim,https://connection.keboola.com/v2/storage/jobs/19733764
5,2016-12-07T09:50:06+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:50:08+0100,19733738,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 1269296, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': True}",tableExport,"{u'queue': u'main', u'export': {u'changedUntil': None, u'format': u'rfc', u'gzipOutput': True, u'tableName': None, u'limit': None, u'columns': [u'id', u'campaign_id', u'event_date', u'pos', u'site_section', u'site_country', u'portal', u'international', u'most_used', u'impressions', u'clicks'], u'whereFilters': [], u'changedSince': None}}","{u'cacheHit': False, u'file': {u'id': 220012238}}",220006106.220011559.220011561,2016-12-07T09:50:06+0100,success,out.c-AdOps-rs.page_pos_fact,https://connection.keboola.com/v2/storage/jobs/19733738
6,2016-12-07T09:48:19+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:48:20+0100,19733693,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 3363, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': True}",tableExport,"{u'queue': u'main_fast', u'export': {u'changedUntil': None, u'format': u'rfc', u'gzipOutput': True, u'tableName': None, u'limit': None, u'columns': [u'dma_geo_id', u'dma_geography'], u'whereFilters': [], u'changedSince': None}}","{u'cacheHit': False, u'file': {u'id': 220012087}}",220006106.220011559.220011561,2016-12-07T09:48:20+0100,success,out.c-AdOps-rs.dma_geo_dim,https://connection.keboola.com/v2/storage/jobs/19733693
7,2016-12-07T09:45:35+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:45:38+0100,19733668,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 14151612, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': True}",tableExport,"{u'queue': u'main', u'export': {u'changedUntil': None, u'format': u'rfc', u'gzipOutput': True, u'tableName': None, u'limit': None, u'columns': [u'dma_id', u'dma_campaign_id', u'dma_event_date', u'dma_geography', u'dma_pos_id', u'dma_est_impressions', u'dma_est_clicks'], u'whereFilters': [], u'changedSince': None}}","{u'cacheHit': False, u'file': {u'id': 220011954}}",220006106.220011559.220011561,2016-12-07T09:45:35+0100,success,out.c-AdOps-rs.dma_fact,https://connection.keboola.com/v2/storage/jobs/19733668
8,2016-12-07T09:42:56+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:42:58+0100,19733621,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 459483, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': True}",tableExport,"{u'queue': u'main', u'export': {u'changedUntil': None, u'format': u'rfc', u'gzipOutput': True, u'tableName': None, u'limit': None, u'columns': [u'campaign_id', u'advertiser', u'salesgroup', u'campaigngroup', u'bookedimps', u'bookedclicks', u'priority', u'impoverrun', u'dailyimp', u'start_date', u'end_date', u'cpm', u'cpc', u'cpa', u'flatrate', u'currency'], u'whereFilters': [], u'changedSince': None}}","{u'cacheHit': False, u'file': {u'id': 220011784}}",220006106.220011559.220011561,2016-12-07T09:42:56+0100,success,out.c-AdOps-rs.campaign_dim,https://connection.keboola.com/v2/storage/jobs/19733621
9,2016-12-07T09:40:19+0100,"{u'id': u'61379', u'description': u'Orchestrator AdOpsDaily_OAS'}",2016-12-07T09:40:19+0100,19733571,"{u'inCompressed': False, u'inBytesUncompressed': 0, u'outBytes': 47912, u'inBytes': 0, u'outBytesUncompressed': 0, u'outCompressed': True}",tableExport,"{u'queue': u'main_fast', u'export': {u'changedUntil': None, u'format': u'rfc', u'gzipOutput': True, u'tableName': None, u'limit': None, u'columns': [u'Id', u'Date'], u'whereFilters': [], u'changedSince': None}}","{u'cacheHit': True, u'file': {u'id': 217405755}}",220006106.220011559.220011561,2016-12-07T09:40:19+0100,success,in.c-storage-rs.DDD,https://connection.keboola.com/v2/storage/jobs/19733571
